epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,501.954,1.03046,0.84126,0.96894,0.62014,0.73172,0.68012,0.54856,1.11935,1.02114,1.06546,0.0004555,0.0004555,0.0004555
57,510.309,1.00112,0.77919,0.94391,0.67369,0.75039,0.70841,0.55849,1.1257,1.01541,1.06474,0.0004456,0.0004456,0.0004456
58,518.603,1.00642,0.80971,0.95041,0.6548,0.76302,0.70858,0.55246,1.15829,1.00578,1.07259,0.0004357,0.0004357,0.0004357
59,526.86,1.02527,0.8389,0.97699,0.66468,0.73648,0.70196,0.55916,1.14419,1.08015,1.0602,0.0004258,0.0004258,0.0004258
60,535.1,1.0149,0.82402,0.96615,0.68541,0.75118,0.72118,0.57176,1.14668,1.08857,1.06956,0.0004159,0.0004159,0.0004159
61,543.745,1.03753,0.83567,0.97191,0.61755,0.72179,0.68872,0.54966,1.09202,1.08509,1.04975,0.000406,0.000406,0.000406
62,552.177,1.04902,0.82806,0.98218,0.71855,0.65859,0.67071,0.53343,1.09098,1.12662,1.05703,0.0003961,0.0003961,0.0003961
63,560.633,1.02729,0.79005,0.95758,0.67701,0.75639,0.70023,0.55581,1.09583,1.08681,1.0499,0.0003862,0.0003862,0.0003862
64,569.992,1.00028,0.85285,0.96827,0.67169,0.76653,0.72433,0.57189,1.16791,1.05115,1.08131,0.0003763,0.0003763,0.0003763
65,578.924,1.04935,0.81627,0.97883,0.7057,0.76965,0.71666,0.55941,1.13036,1.03406,1.05099,0.0003664,0.0003664,0.0003664
66,587.706,1.01145,0.82473,0.97168,0.69908,0.75606,0.71255,0.55374,1.13724,1.00209,1.04993,0.0003565,0.0003565,0.0003565
67,596.499,1.07625,0.89512,0.95109,0.61969,0.73558,0.69481,0.54615,1.11933,1.01442,1.04478,0.0003466,0.0003466,0.0003466
68,605.839,1.03274,0.80074,0.96854,0.6791,0.74237,0.70387,0.56428,1.1582,1.02275,1.06468,0.0003367,0.0003367,0.0003367
